id,username,password,first_name,last_name,email,version,contentInitialized,account_enabled,account_expired,account_locked,credentials_expired,numConsecutiveLoginFailures,tempAccount,signupSource
-1,user1a,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user,user,user@user.com,1,0,1,0,0,0,0,0,INTERNAL
-3,user2b,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user,two,u2@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-4,user7g,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user,seven,u7@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-5,user8h,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user,eight,u8@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-6,user9i,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user,nine,u9@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-11,user10,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user,ten,u10@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-7,user3c,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user3,user3,user3@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-8,user4d,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user4,user4,user4@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-9,user5e,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user5,user5,user5@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
-10,user6f,831C237928E6212BEDAA4451A514ACE3174562F6761F6A157A2FE5082B36E2FB,user10,user10,user10@researchspace.com,1,0,1,0,0,0,0,0,INTERNAL
